type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
SCHEDULE,start,2021-06-01T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-06-01T10:30:00.000Z,0,0,0,1,2,0,False
CHECK_IN,start,2021-06-01T10:30:00.000Z,0,0,0,1,2,1,True
CITY_WORKING,end,2021-06-01T21:00:00.000Z,0,0,0,0,2,1,False
CHECK_IN,start,2021-06-01T21:02:29.805Z,0,0,0,0,2,2,False
CHECK_IN,end,2021-06-01T21:09:00.000Z,0,0,0,0,2,1,False
SCHEDULE,end,2021-06-01T21:59:00.000Z,0,0,0,0,1,1,False
SCHEDULE,end,2021-06-01T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-06-01T21:59:00.000Z,0,0,0,0,0,0,False
SCHEDULE,start,2021-06-02T10:30:00.000Z,0,0,0,0,1,0,False
SCHEDULE,start,2021-06-02T10:30:00.000Z,0,0,0,0,2,0,False
CHECK_IN,start,2021-06-02T11:00:12.770Z,0,0,0,0,2,1,False
TEMPORARY_CLOSING,end,2021-05-20T19:54:33.853Z,0,0,0,1,1,12,True
CHECK_IN,start,2021-05-20T19:54:33.853Z,0,0,0,1,1,13,True
TEMPORARY_CLOSING,start,2021-05-20T19:56:29.650Z,0,1,0,1,1,13,False
TEMPORARY_CLOSING,end,2021-05-20T19:56:31.332Z,0,0,0,1,1,13,True
CHECK_IN,start,2021-05-20T19:56:31.334Z,0,0,0,1,1,14,True
TEMPORARY_CLOSING,start,2021-05-20T19:58:05.162Z,0,1,0,1,1,14,False
TEMPORARY_CLOSING,end,2021-05-20T19:58:24.182Z,0,0,0,1,1,14,True
CHECK_IN,start,2021-05-20T19:58:24.186Z,0,0,0,1,1,15,True
TEMPORARY_CLOSING,start,2021-05-20T20:16:52.073Z,0,1,0,1,1,15,False
CITY_WORKING,end,2021-05-20T21:00:00.000Z,0,1,0,0,1,15,False
SCHEDULE,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,15,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,14,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,13,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,12,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,11,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,10,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,9,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,8,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,7,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,6,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,5,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,4,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,3,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,2,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,1,False
CHECK_IN,end,2021-05-20T21:59:00.000Z,0,1,0,0,0,0,False
CITY_WORKING,start,2021-05-21T04:00:00.000Z,0,1,0,1,0,0,False
SCHEDULE,start,2021-05-21T10:30:00.000Z,0,1,0,1,1,0,False
TEMPORARY_CLOSING,end,2021-05-21T10:44:52.896Z,0,0,0,1,1,0,False
CHECK_IN,start,2021-05-21T10:44:52.898Z,0,0,0,1,1,1,True
TEMPORARY_CLOSING,start,2021-05-21T14:49:03.424Z,0,1,0,1,1,1,False
TEMPORARY_CLOSING,end,2021-05-21T15:20:47.019Z,0,0,0,1,1,1,True
CHECK_IN,start,2021-05-21T15:20:47.026Z,0,0,0,1,1,2,True
TEMPORARY_CLOSING,start,2021-05-21T17:36:00.445Z,0,1,0,1,1,2,False
TEMPORARY_CLOSING,end,2021-05-21T18:17:25.930Z,0,0,0,1,1,2,True
CHECK_IN,start,2021-05-21T18:17:25.989Z,0,0,0,1,1,3,True
TEMPORARY_CLOSING,start,2021-05-21T18:53:12.743Z,0,1,0,1,1,3,False
TEMPORARY_CLOSING,end,2021-05-21T18:59:46.247Z,0,0,0,1,1,3,True
CHECK_IN,start,2021-05-21T18:59:46.254Z,0,0,0,1,1,4,True
TEMPORARY_CLOSING,start,2021-05-21T19:09:02.643Z,0,1,0,1,1,4,False
TEMPORARY_CLOSING,end,2021-05-21T19:09:37.831Z,0,0,0,1,1,4,True
CHECK_IN,start,2021-05-21T19:09:37.843Z,0,0,0,1,1,5,True
TEMPORARY_CLOSING,start,2021-05-21T19:10:41.442Z,0,1,0,1,1,5,False
TEMPORARY_CLOSING,end,2021-05-21T19:12:09.462Z,0,0,0,1,1,5,True
CHECK_IN,start,2021-05-21T19:12:09.468Z,0,0,0,1,1,6,True
TEMPORARY_CLOSING,start,2021-05-21T19:21:48.953Z,0,1,0,1,1,6,False
TEMPORARY_CLOSING,end,2021-05-21T19:22:19.152Z,0,0,0,1,1,6,True
CHECK_IN,start,2021-05-21T19:22:19.160Z,0,0,0,1,1,7,True
TEMPORARY_CLOSING,start,2021-05-21T19:41:24.357Z,0,1,0,1,1,7,False
TEMPORARY_CLOSING,end,2021-05-21T19:41:51.155Z,0,0,0,1,1,7,True
CHECK_IN,start,2021-05-21T19:41:51.210Z,0,0,0,1,1,8,True
TEMPORARY_CLOSING,start,2021-05-21T19:51:58.368Z,0,1,0,1,1,8,False
CHECK_IN,start,2021-05-21T19:53:01.292Z,0,1,0,1,1,9,False
TEMPORARY_CLOSING,end,2021-05-21T19:53:01.326Z,0,0,0,1,1,9,True
CHECK_IN,start,2021-05-21T19:53:01.334Z,0,0,0,1,1,10,True
TEMPORARY_CLOSING,start,2021-05-21T20:36:47.296Z,0,1,0,1,1,10,False
TEMPORARY_CLOSING,start,2021-05-21T20:36:56.812Z,0,2,0,1,1,10,False
CITY_WORKING,end,2021-05-21T21:00:00.000Z,0,2,0,0,1,10,False
TEMPORARY_CLOSING,end,2021-05-21T21:06:46.656Z,0,1,0,0,1,10,False
SCHEDULE,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,10,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,9,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,8,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,7,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,6,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,5,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,4,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,3,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,2,False
CHECK_IN,end,2021-05-21T21:59:00.000Z,0,1,0,0,0,1,False
